Sr. No.,Data Source,Shop Name,Contact / Owner,WhatsApp Number,Area / Locality,Zone,Store Type,Years Operating,Has Refrigerator,ADA / Distributor,Brands Stocked,Stocks Amul C&T,Aware of Amul C&T,Why Not Stocking C&T,C&T SKU Mix (80g / 180g / 850g),C&T Estimated Packs / Week,Amul Masti Dahi Packs / Week (est.),Pack Sizes Most in Demand,Packaging Format Preferred,#1 Selling Dahi Brand at Store,"Brand Ranking (brands stocked, by volume)",Amul Dahi Sales Change vs 1 Year Ago,Primary Reason Customers Choose Competitor,Customers Ask for Amul Dahi by Name,Customers Ask for Other Brand by Name,Margin on Amul Dahi (from price list),Best Trade Promotions Brand,Branded Display / Fridge Provided By,Best Rep Visits Brand,Best Shelf Life / Freshness Brand,Preferential Shelf Placement Brand,Biggest 6-Month Growth Brand,Trade Promotions Received on Amul Dahi,Amul Rep Visit Frequency,Customer Complaints About Amul Dahi,Customer Feedback on Amul C&T Specifically,Suggested Changes / Improvements for Amul,Other Feedback for Amul,Timestamp,zone_clean,store_type_clean,years_operating_clean,fridge_type,awareness_tier,rep_visit_clean,promo_received_clean,stocks_ct,pack_format_clean,phone_clean,phone_valid,feat_refrigerator_flag,feat_dedicated_fridge,feat_awareness_score,feat_rep_visit_score,feat_promo_bonus,feat_engagement_score,feat_infrastructure_score,feat_competitor_presence,feat_frubon_threat_score,feat_ct_weekly_volume,feat_masti_weekly_volume,feat_years_operating_num,feat_adoption_likelihood,nlp_complaints,nlp_ct_feedback,nlp_suggestions,nlp_other_feedback,nlp_why_not_stocking,nlp_full_corpus
274,Synthetic (Shoppee YES + March Sales),Shree Balaji General Store,Govind Ram Pareek,9950934988.0,Dadi Ka Phatak,Amer / Periphery / Ajmer Road,Kiryana/General store,5–10 years,"Yes, dedicated dairy refrigerator",Jasoda,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup), Amul Dahi Creamy & Tasty",Yes,"Yes, I stock it",,"180g Cup, 850g Pouch",Less than 20 packs/week,50–100 packs/week,"80g / 180g (small cup, single use), 400–500g (medium, family meal)",Pouch (cheaper),Amul_Masti Dahi,"#1: Amul Masti Dahi, #2: Amul Masti Dahi (Pouch), #3: Amul Masti Dahi (Cup), #4: Amul Dahi Creamy & Tasty",Increased slightly,Local pride in Saras,Never,,"Amul C&T: 80g=24%, 180g=30%, 850g=6.8% | Masti: 5–10%",Frubon,,Amul,Amul,"Amul (Eye Level, Front Of Fridge)",Amul_Masti Dahi,"Yes, occasionally",Monthly,No complaints,"Texture is creamy, some prefer it over Masti",More consumer-facing offers/free trials,no_data,,Amer_Periphery,Kiryana,5_10yrs,dedicated,stocking,monthly,yes_occasionally,True,pouch,99509349880,False,1,1,3,2,2,4,2,1,2,10,75,3,8.96,no complaints,"texture is creamy, some prefer it over masti",more consumer-facing offers/free trials,no_data,no_data,"no complaints | texture is creamy, some prefer it over masti | more consumer-facing offers/free trials"
275,Synthetic (Shoppee YES + March Sales),Jai Mata Di General Store,Gopal Lal Saini,8963069672.0,Mahesh Nagar 80 Feet Road,Amer / Periphery / Ajmer Road,Kiryana/General store,2–5 years,"Yes, dedicated dairy refrigerator",Anjini,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup)",No,"Yes, aware but not stocking",Low/unclear margin,,,200–500 packs/week,"80g / 180g (small cup, single use), 400–500g (medium, family meal)","Cup/tub (convenient, resealable)",Amul_Masti Dahi,"#1: Amul Masti Dahi, #2: Amul Masti Dahi (Pouch), #3: Amul Masti Dahi (Cup)",Increased slightly,Taste preference,Rarely,,Amul Masti Dahi: 5–10%,Frubon,,Frubon,About The Same,"Amul (Eye Level, Front Of Fridge)",Amul_Masti Dahi,"No, never",Monthly,No complaints,Too thin/watery compared to Masti Dahi per retailer observation,Smaller affordable SKU for single-use,no_data,,Amer_Periphery,Kiryana,2_5yrs,dedicated,aware_only,monthly,never,False,cup,89630696720,False,1,1,1,2,0,2,2,1,3,0,350,2,5.58,no complaints,too thin/watery compared to masti dahi per retailer observation,smaller affordable sku for single-use,no_data,low/unclear margin,no complaints | too thin/watery compared to masti dahi per retailer observation | smaller affordable sku for single-use | low/unclear margin
276,Synthetic (Shoppee YES + March Sales),Kisan Sabji Bhandar,Suresh Kumar,8094046208.0,Dhabas Road Jaipur,Amer / Periphery / Ajmer Road,Dairy booth / Parlour,5–10 years,"Yes, dedicated dairy refrigerator",Bhamu,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup), Amul Dahi Creamy & Tasty, Saras Dahi, FruBon Dahi",Yes,"Yes, I stock it",,180g Cup,Less than 20 packs/week,20–50 packs/week,"80g / 180g (small cup, single use)","Cup/tub (convenient, resealable)",Saras Dahi,"#1: Saras Dahi, #2: Amul Masti Dahi (Pouch), #3: Amul Masti Dahi (Cup), #4: Amul Dahi Creamy & Tasty",Decreased slightly,Local pride in Saras,"Yes, often",,"Amul C&T: 80g=24%, 180g=30%, 850g=6.8% | Masti: 5–10%",Saras,,Saras,Saras,"Amul (Eye Level, Front Of Fridge)",Amul_Masti Dahi,"Yes, occasionally",Fortnightly,No complaints,"Sells okay, no specific complaints",More consumer-facing offers/free trials,no_data,,Amer_Periphery,Dairy_Parlour,5_10yrs,dedicated,stocking,fortnightly,yes_occasionally,True,cup,80940462080,False,1,1,3,3,2,5,2,1,0,10,35,3,9.29,no complaints,"sells okay, no specific complaints",more consumer-facing offers/free trials,no_data,no_data,"no complaints | sells okay, no specific complaints | more consumer-facing offers/free trials"
277,Synthetic (Shoppee YES + March Sales),Niraj Kirana Store,Shanti,8104614198.0,102 Ganesh Nagar Iskon Road Vijay Path Mansarovar,Vaishali Nagar / Mansarovar,Kiryana/General store,5–10 years,"Yes, dedicated dairy refrigerator",Ankit,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup)",No,"No, not aware at all",,,,20–50 packs/week,"80g / 180g (small cup, single use)",No clear preference,Amul_Masti Dahi,"#1: Amul Masti Dahi, #2: Amul Masti Dahi (Pouch), #3: Amul Masti Dahi (Cup)",Stayed the same,Price,Rarely,,Amul Masti Dahi: 5–10%,Saras,,Frubon,About The Same,"Amul (Eye Level, Front Of Fridge)",Frubon Dahi,"No, never",Monthly,No complaints,Customers haven't asked for it,Better margins for retailers,no_data,,Vaishali_Mansarovar,Kiryana,5_10yrs,dedicated,unaware,monthly,never,False,no_preference,81046141980,False,1,1,0,2,0,2,2,1,1,0,35,3,4.79,no complaints,customers haven't asked for it,better margins for retailers,no_data,no_data,no complaints | customers haven't asked for it | better margins for retailers
278,Synthetic (Shoppee YES + March Sales),Rajendra Kirana Store,Rajendra Ji,9351495833.0,Shani Bhavan Sheopur,Amer / Periphery / Ajmer Road,Kiryana/General store,2–5 years,"Yes, dedicated dairy refrigerator",Rishit,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup), Saras Dahi, FruBon Dahi",No,"No, not aware at all",,,,20–50 packs/week,"80g / 180g (small cup, single use), 400–500g (medium, family meal), 850g (large family pack)",Pouch (cheaper),Amul_Masti Dahi,"#1: Amul Masti Dahi, #2: Amul Masti Dahi (Pouch), #3: Amul Masti Dahi (Cup), #4: Saras Dahi",Increased slightly,Taste preference,Rarely,,Amul Masti Dahi: 5–10%,Saras,Saras Booth/Display,Frubon,Amul,"Saras (Eye Level, Front Of Fridge)",Amul_Masti Dahi,"No, never",Monthly,Packaging leaks or breaks,Customers haven't asked for it,More advertising in Jaipur,no_data,,Amer_Periphery,Kiryana,2_5yrs,dedicated,unaware,monthly,never,False,pouch,93514958330,False,1,1,0,2,0,2,2,1,1,0,35,2,4.42,packaging leaks or breaks,customers haven't asked for it,more advertising in jaipur,no_data,no_data,packaging leaks or breaks | customers haven't asked for it | more advertising in jaipur
279,Synthetic (Shoppee YES + March Sales),Cake Point,Pawan Kumar Sharma,9928706808.0,S.N. 6 Satya Nagar Old 34 N0. Bus Stand Niwaru Road,Amer / Periphery / Ajmer Road,Kiryana/General store,More than 10 years,"Yes, dedicated dairy refrigerator",Nayal,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup), FruBon Dahi",No,"Yes, aware but not stocking",No customer demand/enquiry,,,50–100 packs/week,"80g / 180g (small cup, single use), 400–500g (medium, family meal)",Pouch (cheaper),Amul_Masti Dahi,"#1: Amul Masti Dahi, #2: Amul Masti Dahi (Pouch), #3: Amul Masti Dahi (Cup), #4: FruBon Dahi",Decreased slightly,Familiarity/habit,"Yes, often",,Amul Masti Dahi: 5–10%,None / No Promotions,,Saras,Amul,"Amul (Eye Level, Front Of Fridge)",Amul_Masti Dahi,"No, never",Monthly,No complaints,No awareness among customers,Smaller affordable SKU for single-use,no_data,,Amer_Periphery,Kiryana,gt_10yrs,dedicated,aware_only,monthly,never,False,pouch,99287068080,False,1,1,1,2,0,2,2,1,0,0,75,4,6.33,no complaints,no awareness among customers,smaller affordable sku for single-use,no_data,no customer demand/enquiry,no complaints | no awareness among customers | smaller affordable sku for single-use | no customer demand/enquiry
280,Synthetic (Shoppee YES + March Sales),Gupta Kirana & Genral Store,Babulal Gupt,8432080183.0,Janakpuri 1St Imli Phatk,Amer / Periphery / Ajmer Road,Kiryana/General store,More than 10 years,"Yes, dedicated dairy refrigerator",Mohanl Lal Saini,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup), Saras Dahi",No,"No, not aware at all",,,,20–50 packs/week,"400–500g (medium, family meal)","Cup/tub (convenient, resealable)",Amul_Masti Dahi,"#1: Amul Masti Dahi, #2: Amul Masti Dahi (Pouch), #3: Amul Masti Dahi (Cup), #4: Saras Dahi",Increased slightly,Price,"Yes, often",,Amul Masti Dahi: 5–10%,Saras,,Saras,Amul,"Amul (Eye Level, Front Of Fridge)",Frubon Dahi,"No, never",Rarely (once in 2–3 months),No complaints,No awareness among customers,More consumer-facing offers/free trials,no_data,,Amer_Periphery,Kiryana,gt_10yrs,dedicated,unaware,rarely,never,False,cup,84320801830,False,1,1,0,1,0,1,2,1,0,0,35,4,4.83,no complaints,no awareness among customers,more consumer-facing offers/free trials,no_data,no_data,no complaints | no awareness among customers | more consumer-facing offers/free trials
281,Synthetic (Shoppee YES + March Sales),D.K General Store,Roopendra Agrawal,,Rpa Road,Amer / Periphery / Ajmer Road,Kiryana/General store,More than 10 years,"Yes, dedicated dairy refrigerator",Shiv Agency,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup), FruBon Dahi, Mother Dairy Curd",No,"No, not aware at all",,,,50–100 packs/week,"80g / 180g (small cup, single use)",Pouch (cheaper),Amul_Masti Dahi,"#1: Amul Masti Dahi, #2: Amul Masti Dahi (Pouch), #3: Amul Masti Dahi (Cup), #4: FruBon Dahi",Increased slightly,Price,Never,,Amul Masti Dahi: 5–10%,None / No Promotions,Frubon Provides Display Box,Saras,About The Same,"Amul (Eye Level, Front Of Fridge)",Amul_Masti Dahi,"No, never",Monthly,Not thick enough,No awareness among customers,More frequent sales rep visits,no_data,,Amer_Periphery,Kiryana,gt_10yrs,dedicated,unaware,monthly,never,False,pouch,,False,1,1,0,2,0,2,2,1,0,0,75,4,5.17,not thick enough,no awareness among customers,more frequent sales rep visits,no_data,no_data,not thick enough | no awareness among customers | more frequent sales rep visits
282,Synthetic (Shoppee YES + March Sales),Lalit Kirana Store,Mohsin Khan,,22 Godam Circle,Amer / Periphery / Ajmer Road,Kiryana/General store,5–10 years,"Yes, dedicated dairy refrigerator",M.D.Agency,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup), Saras Dahi",No,"No, not aware at all",,,,100–200 packs/week,"80g / 180g (small cup, single use), 400–500g (medium, family meal), 850g (large family pack)","Cup/tub (convenient, resealable)",Saras Dahi,"#1: Saras Dahi, #2: Amul Masti Dahi (Pouch), #3: Amul Masti Dahi (Cup)",Increased slightly,Taste preference,"Yes, often",,Amul Masti Dahi: 5–10%,Frubon,,Saras,Amul,"Saras (Eye Level, Front Of Fridge)",Amul_Masti Dahi,"No, never",Fortnightly,Curd is too sour,Too thin/watery compared to Masti Dahi per retailer observation,More frequent sales rep visits,no_data,,Amer_Periphery,Kiryana,5_10yrs,dedicated,unaware,fortnightly,never,False,cup,,False,1,1,0,3,0,3,2,1,2,0,150,3,5.12,curd is too sour,too thin/watery compared to masti dahi per retailer observation,more frequent sales rep visits,no_data,no_data,curd is too sour | too thin/watery compared to masti dahi per retailer observation | more frequent sales rep visits
283,Synthetic (Shoppee YES + March Sales),Tanwar Kirana And General Store,Ranveer Singh,9667820654.0,11-A Laxmi Nagar Harnathpura Jhotwara,Jhotwara / Murlipura,Kiryana/General store,More than 10 years,"Yes, dedicated dairy refrigerator",Shree Nidhi,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup)",No,"No, not aware at all",,,,20–50 packs/week,"80g / 180g (small cup, single use), 400–500g (medium, family meal)",Pouch (cheaper),Amul_Masti Dahi,"#1: Amul Masti Dahi, #2: Amul Masti Dahi (Pouch), #3: Amul Masti Dahi (Cup)",Increased slightly,Taste preference,Rarely,,Amul Masti Dahi: 5–10%,Saras,,Amul,Amul,"Amul (Eye Level, Front Of Fridge)",Amul_Masti Dahi,"No, never",Monthly,Not thick enough,No awareness among customers,Smaller affordable SKU for single-use,no_data,,Jhotwara_Murlipura,Kiryana,gt_10yrs,dedicated,unaware,monthly,never,False,pouch,96678206540,False,1,1,0,2,0,2,2,1,0,0,35,4,5.17,not thick enough,no awareness among customers,smaller affordable sku for single-use,no_data,no_data,not thick enough | no awareness among customers | smaller affordable sku for single-use
284,Synthetic (Shoppee YES + March Sales),Virendra Kirana Store,Virendra,8949323249.0,Nandpuri Road Near Goyal Hospital,Amer / Periphery / Ajmer Road,Kiryana/General store,2–5 years,"Yes, dedicated dairy refrigerator",Krishna,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup), Saras Dahi",No,"No, not aware at all",,,,50–100 packs/week,"80g / 180g (small cup, single use), 400–500g (medium, family meal)",No clear preference,Saras Dahi,"#1: Saras Dahi, #2: Amul Masti Dahi (Pouch), #3: Amul Masti Dahi (Cup)",Increased significantly,Taste preference,"Yes, sometimes",,Amul Masti Dahi: 5–10%,Saras,Frubon Provides Display Box,Amul,Amul,"Saras (Eye Level, Front Of Fridge)",Frubon Dahi,"No, never",Monthly,No complaints,No awareness among customers,More advertising in Jaipur,no_data,,Amer_Periphery,Kiryana,2_5yrs,dedicated,unaware,monthly,never,False,no_preference,89493232490,False,1,1,0,2,0,2,2,1,0,0,75,2,4.42,no complaints,no awareness among customers,more advertising in jaipur,no_data,no_data,no complaints | no awareness among customers | more advertising in jaipur
285,Synthetic (Shoppee YES + March Sales),Jain Kirana Store,Naina Devi,,,Amer / Periphery / Ajmer Road,Kiryana/General store,5–10 years,"Yes, dedicated dairy refrigerator",Suarj,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup), Amul Dahi Creamy & Tasty, Saras Dahi",Yes,"Yes, I stock it",,"80g Cup, 180g Cup",Less than 20 packs/week,100–200 packs/week,"80g / 180g (small cup, single use), 400–500g (medium, family meal), 850g (large family pack)",Pouch (cheaper),Amul_Masti Dahi,"#1: Amul Masti Dahi, #2: Amul Masti Dahi (Pouch), #3: Amul Masti Dahi (Cup), #4: Amul Dahi Creamy & Tasty",Stayed the same,Taste preference,"Yes, often",,"Amul C&T: 80g=24%, 180g=30%, 850g=6.8% | Masti: 5–10%",None / No Promotions,,Amul,Amul,"Amul (Eye Level, Front Of Fridge)",Amul_Masti Dahi,"No, never",Fortnightly,Curd is too sour,Customers like the cup format,Smaller affordable SKU for single-use,no_data,,Amer_Periphery,Kiryana,5_10yrs,dedicated,stocking,fortnightly,never,True,pouch,,False,1,1,3,3,0,3,2,0,0,10,150,3,8.62,curd is too sour,customers like the cup format,smaller affordable sku for single-use,no_data,no_data,curd is too sour | customers like the cup format | smaller affordable sku for single-use
286,Synthetic (Shoppee YES + March Sales),Shree Syam General Store,Anita Agarwal,8739972830.0,C Scheme,C-Scheme / Bani Park / Civil Lines,Kiryana/General store,2–5 years,"Yes, dedicated dairy refrigerator",M.D.Agency,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup), Amul Dahi Creamy & Tasty",Yes,"Yes, I stock it",,80g Cup,Less than 20 packs/week,100–200 packs/week,"80g / 180g (small cup, single use)",Pouch (cheaper),Amul Dahi Creamy & Tasty,"#1: Amul Dahi Creamy & Tasty, #2: Amul Masti Dahi (Pouch), #3: Amul Masti Dahi (Cup)",Decreased slightly,Price,"Yes, sometimes",,"Amul C&T: 80g=24%, 180g=30%, 850g=6.8% | Masti: 5–10%",Saras,Frubon Provides Display Box,Frubon,Amul,"Amul (Eye Level, Front Of Fridge)",Frubon Dahi,"No, never",Monthly,Curd is too sour,"Texture is creamy, some prefer it over Masti",More advertising in Jaipur,no_data,,C_Scheme,Kiryana,2_5yrs,dedicated,stocking,monthly,never,True,pouch,87399728300,False,1,1,3,2,0,2,2,1,1,10,150,2,7.92,curd is too sour,"texture is creamy, some prefer it over masti",more advertising in jaipur,no_data,no_data,"curd is too sour | texture is creamy, some prefer it over masti | more advertising in jaipur"
287,Synthetic (Shoppee YES + March Sales),Radha Govind Kirana Store,Narayan Dass,9079908634.0,Thadi Market Mansarovar,Vaishali Nagar / Mansarovar,Kiryana/General store,5–10 years,"Yes, dedicated dairy refrigerator",Shree Syam Parlour,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup)",No,"No, not aware at all",,,,100–200 packs/week,"80g / 180g (small cup, single use)",No clear preference,Amul_Masti Dahi,"#1: Amul Masti Dahi, #2: Amul Masti Dahi (Pouch), #3: Amul Masti Dahi (Cup)",Increased slightly,Price,Rarely,,Amul Masti Dahi: 5–10%,None / No Promotions,,Saras,About The Same,"Amul (Eye Level, Front Of Fridge)",Saras Dahi,"No, never",Rarely (once in 2–3 months),Curd is too sour,Customers haven't asked for it,More consumer-facing offers/free trials,no_data,,Vaishali_Mansarovar,Kiryana,5_10yrs,dedicated,unaware,rarely,never,False,no_preference,90799086340,False,1,1,0,1,0,1,2,1,0,0,150,3,4.46,curd is too sour,customers haven't asked for it,more consumer-facing offers/free trials,no_data,no_data,curd is too sour | customers haven't asked for it | more consumer-facing offers/free trials
288,Synthetic (Shoppee YES + March Sales),Ganesh Provision,Vasudev Tekwani,9001463596.0,Nand Puri Road,Amer / Periphery / Ajmer Road,Kiryana/General store,2–5 years,"Yes, dedicated dairy refrigerator",Krishna,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup)",No,"No, not aware at all",,,,20–50 packs/week,"80g / 180g (small cup, single use)",Pouch (cheaper),Amul_Masti Dahi,"#1: Amul Masti Dahi, #2: Amul Masti Dahi (Pouch), #3: Amul Masti Dahi (Cup)",Stayed the same,Taste preference,Rarely,,Amul Masti Dahi: 5–10%,Saras,Frubon Provides Display Box,Amul,Amul,"Amul (Eye Level, Front Of Fridge)",Amul_Masti Dahi,"No, never",Monthly,Curd is too sour,Customers haven't asked for it,Better margins for retailers,no_data,,Amer_Periphery,Kiryana,2_5yrs,dedicated,unaware,monthly,never,False,pouch,90014635960,False,1,1,0,2,0,2,2,1,0,0,35,2,4.42,curd is too sour,customers haven't asked for it,better margins for retailers,no_data,no_data,curd is too sour | customers haven't asked for it | better margins for retailers
289,Synthetic (Shoppee YES + March Sales),Krishna Kirana Store,Ruchika Ji,7014581774.0,Krishna Apartment Sector 29 Pratap Nagar,Malviya Nagar / Jagatpura / Sanganer,Kiryana/General store,More than 10 years,"Yes, dedicated dairy refrigerator",Rishit,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup)",No,"No, not aware at all",,,,100–200 packs/week,"80g / 180g (small cup, single use)","Cup/tub (convenient, resealable)",Amul_Masti Dahi,"#1: Amul Masti Dahi, #2: Amul Masti Dahi (Pouch), #3: Amul Masti Dahi (Cup)",Stayed the same,Price,"Yes, sometimes",,Amul Masti Dahi: 5–10%,Saras,Saras Booth/Display,Amul,Amul,"Amul (Eye Level, Front Of Fridge)",Frubon Dahi,"No, never",Fortnightly,Curd is too sour,Customers haven't asked for it,More frequent sales rep visits,no_data,,Malviya_Sanganer,Kiryana,gt_10yrs,dedicated,unaware,fortnightly,never,False,cup,70145817740,False,1,1,0,3,0,3,2,1,0,0,150,4,5.5,curd is too sour,customers haven't asked for it,more frequent sales rep visits,no_data,no_data,curd is too sour | customers haven't asked for it | more frequent sales rep visits
290,Synthetic (Shoppee YES + March Sales),Vijayvargi Kirana Store,Shari Ram Ji,8562050367.0,"Machera, 4C 14 No.",Amer / Periphery / Ajmer Road,Kiryana/General store,More than 10 years,"Yes, dedicated dairy refrigerator",Sharda Enterprise,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup)",No,"No, not aware at all",,,,20–50 packs/week,"80g / 180g (small cup, single use), 400–500g (medium, family meal)",Pouch (cheaper),Amul_Masti Dahi,"#1: Amul Masti Dahi, #2: Amul Masti Dahi (Pouch), #3: Amul Masti Dahi (Cup)",Stayed the same,Local pride in Saras,"Yes, sometimes",,Amul Masti Dahi: 5–10%,Frubon,,Frubon,Saras,"Amul (Eye Level, Front Of Fridge)",Frubon Dahi,"No, never",Monthly,No complaints,No awareness among customers,More advertising in Jaipur,no_data,,Amer_Periphery,Kiryana,gt_10yrs,dedicated,unaware,monthly,never,False,pouch,85620503670,False,1,1,0,2,0,2,2,1,3,0,35,4,5.17,no complaints,no awareness among customers,more advertising in jaipur,no_data,no_data,no complaints | no awareness among customers | more advertising in jaipur
291,Synthetic (Shoppee YES + March Sales),Komal Kirana,Ramesh Chand Saini,9351834723.0,"Laxmi Nagar,Niwaru Road",Amer / Periphery / Ajmer Road,Kiryana/General store,5–10 years,"Yes, dedicated dairy refrigerator",Nayal,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup), Saras Dahi, FruBon Dahi",No,"Yes, aware but not stocking",Saras is sufficient for my customers,,,100–200 packs/week,"80g / 180g (small cup, single use), 400–500g (medium, family meal), 850g (large family pack)",No clear preference,Amul_Masti Dahi,"#1: Amul Masti Dahi, #2: Amul Masti Dahi (Pouch), #3: Amul Masti Dahi (Cup), #4: Saras Dahi",Increased slightly,Taste preference,"Yes, sometimes",,Amul Masti Dahi: 5–10%,Frubon,Frubon Provides Display Box,Saras,Amul,"Amul (Eye Level, Front Of Fridge)",Amul_Masti Dahi,"No, never",Weekly,Curd is too sour,No awareness among customers,More consumer-facing offers/free trials,no_data,,Amer_Periphery,Kiryana,5_10yrs,dedicated,aware_only,weekly,never,False,no_preference,93518347230,False,1,1,1,4,0,4,2,1,2,0,150,3,6.62,curd is too sour,no awareness among customers,more consumer-facing offers/free trials,no_data,saras is sufficient for my customers,curd is too sour | no awareness among customers | more consumer-facing offers/free trials | saras is sufficient for my customers
292,Synthetic (Shoppee YES + March Sales),Mahadevan Kirana Store,Ghanshyam,9602286869.0,Balaji College Bainad Road,Amer / Periphery / Ajmer Road,Kiryana/General store,More than 10 years,"Yes, dedicated dairy refrigerator",Sharda Enterprise,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup)",No,"No, not aware at all",,,,50–100 packs/week,"80g / 180g (small cup, single use)","Cup/tub (convenient, resealable)",Amul_Masti Dahi,"#1: Amul Masti Dahi, #2: Amul Masti Dahi (Pouch), #3: Amul Masti Dahi (Cup)",Increased significantly,Price,Rarely,,Amul Masti Dahi: 5–10%,None / No Promotions,,Amul,About The Same,"Amul (Eye Level, Front Of Fridge)",Frubon Dahi,"No, never",Fortnightly,Curd is too sour,No awareness among customers,More consumer-facing offers/free trials,no_data,,Amer_Periphery,Kiryana,gt_10yrs,dedicated,unaware,fortnightly,never,False,cup,96022868690,False,1,1,0,3,0,3,2,0,0,0,75,4,5.5,curd is too sour,no awareness among customers,more consumer-facing offers/free trials,no_data,no_data,curd is too sour | no awareness among customers | more consumer-facing offers/free trials
293,Synthetic (Shoppee YES + March Sales),Om Kirana Store,Manoj Kumar,7891117001.0,Agra Road,Amer / Periphery / Ajmer Road,Kiryana/General store,More than 10 years,"Yes, dedicated dairy refrigerator",Bholenath,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup), Amul Dahi Creamy & Tasty, FruBon Dahi, Mother Dairy Curd",Yes,"Yes, I stock it",,"180g Cup, 80g Cup",20–50 packs/week,20–50 packs/week,"80g / 180g (small cup, single use)",Pouch (cheaper),Amul_Masti Dahi,"#1: Amul Masti Dahi, #2: Amul Masti Dahi (Pouch), #3: Amul Masti Dahi (Cup), #4: Amul Dahi Creamy & Tasty",Increased significantly,Price,Never,,"Amul C&T: 80g=24%, 180g=30%, 850g=6.8% | Masti: 5–10%",None / No Promotions,,Frubon,About The Same,"Amul (Eye Level, Front Of Fridge)",Amul_Masti Dahi,"No, never",Monthly,Curd is too sour,"Good freshness, priced right",Smaller affordable SKU for single-use,no_data,,Amer_Periphery,Kiryana,gt_10yrs,dedicated,stocking,monthly,never,True,pouch,78911170010,False,1,1,3,2,0,2,2,1,1,35,35,4,8.67,curd is too sour,"good freshness, priced right",smaller affordable sku for single-use,no_data,no_data,"curd is too sour | good freshness, priced right | smaller affordable sku for single-use"
294,Synthetic (Shoppee YES + March Sales),Diwanshu Dept Store,Damodar Prasad,9928741655.0,Jamwaramgarth,Amer / Periphery / Ajmer Road,Kiryana/General store,More than 10 years,"Yes, dedicated dairy refrigerator",Mataji,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup), Saras Dahi",No,"Yes, aware but not stocking",No customer demand/enquiry,,,50–100 packs/week,"80g / 180g (small cup, single use), 400–500g (medium, family meal)",Pouch (cheaper),Saras Dahi,"#1: Saras Dahi, #2: Amul Masti Dahi (Pouch), #3: Amul Masti Dahi (Cup)",Increased slightly,Price,"Yes, often",,Amul Masti Dahi: 5–10%,None / No Promotions,,Frubon,Saras,"Saras (Eye Level, Front Of Fridge)",Saras Dahi,"No, never",Rarely (once in 2–3 months),No complaints,No awareness among customers,More advertising in Jaipur,no_data,,Amer_Periphery,Kiryana,gt_10yrs,dedicated,aware_only,rarely,never,False,pouch,99287416550,False,1,1,1,1,0,1,2,1,1,0,75,4,6.0,no complaints,no awareness among customers,more advertising in jaipur,no_data,no customer demand/enquiry,no complaints | no awareness among customers | more advertising in jaipur | no customer demand/enquiry
295,Synthetic (Shoppee YES + March Sales),Ravi Kirana Store,Kesar Dev Kumawat,9314253976.0,Sec.2 Vidhyadhar Nagar Sikar Road,Vaishali Nagar / Mansarovar,Kiryana/General store,More than 10 years,"Yes, dedicated dairy refrigerator",Tanu Enterprise,"Amul Masti Dahi (Pouch), Amul Masti Dahi (Cup)",No,"No, not aware at all",,,,20–50 packs/week,"80g / 180g (small cup, single use)",No clear preference,Amul_Masti Dahi,"#1: Amul Masti Dahi, #2: Amul Masti Dahi (Pouch), #3: Amul Masti Dahi (Cup)",Decreased slightly,Price,"Yes, often",,Amul Masti Dahi: 5–10%,Saras,,Frubon,About The Same,"Amul (Eye Level, Front Of Fridge)",Amul_Masti Dahi,"No, never",Fortnightly,No complaints,No awareness among customers,Smaller affordable SKU for single-use,no_data,,Vaishali_Mansarovar,Kiryana,gt_10yrs,dedicated,unaware,fortnightly,never,False,no_preference,93142539760,False,1,1,0,3,0,3,2,1,1,0,35,4,5.5,no complaints,no awareness among customers,smaller affordable sku for single-use,no_data,no_data,no complaints | no awareness among customers | smaller affordable sku for single-use
